"variable","code","term_type","OR","OR_low","OR_high","estimate","std_err","p_value","direction","category"
"CountryC169","CountryC169","country",459.450209310765,82.5162342068536,2558.21774787406,6.13003057751489,0.876054631009257,2.60913455650678e-12,"higher availability",NA
"CountryC076","CountryC076","country",166.096270338359,51.3974894345305,536.7571709014,5.11256756205263,0.598469279906612,1.3107589314543e-17,"higher availability",NA
"CountryC015","CountryC015","country",118.434544583478,33.5331106293383,418.295263619942,4.77436044158052,0.643801173812577,1.2080825656665e-13,"higher availability",NA
"CountryC115","CountryC115","country",96.8366517733471,32.990933766363,284.239821554656,4.57302555664094,0.549394160182074,8.5215509014024e-17,"higher availability",NA
"CountryC243","CountryC243","country",71.8166099187119,24.2747497011746,212.468739068682,4.27411578521536,0.553417864112871,1.13511042905449e-14,"higher availability",NA
"CountryC217","CountryC217","country",68.0785466340342,8.69908316019353,532.778963766023,4.22066213612353,1.04973587072565,5.80280149471388e-05,"higher availability",NA
"CountryC075","CountryC075","country",50.0355554290971,13.192623661374,189.76944020834,3.91273386129218,0.680153315031161,8.78171276330598e-09,"higher availability",NA
"CountryC104","CountryC104","country",47.4672240719242,7.66409118414605,293.986241415695,3.86003945332911,0.930370929972288,3.340398394108e-05,"higher availability",NA
"CountryC255","CountryC255","country",46.0191505053085,13.2553654670598,159.766414475179,3.8290576251867,0.635039839317676,1.64331702644685e-09,"higher availability",NA
"CountryC212","CountryC212","country",44.7244510237017,13.4785425511424,148.404511228252,3.80052035483542,0.611960925817471,5.28508774096674e-10,"higher availability",NA
"CountryC114","CountryC114","country",43.3311859283977,13.8557583063806,135.509845974778,3.76887260506104,0.581730942829989,9.25032318800756e-11,"higher availability",NA
"CountryC109","CountryC109","country",35.47542367045,10.1590127813424,123.880706884161,3.56884016576408,0.638011160097385,2.22286644756299e-08,"higher availability",NA
"CountryC218","CountryC218","country",34.235227089847,11.6924115462302,100.240294250614,3.5332551458166,0.548130021113652,1.14828186376184e-10,"higher availability",NA
"CountryC007","CountryC007","country",33.0076055535374,9.49365706905976,114.761046923492,3.49673800623136,0.635784186541511,3.80045488700667e-08,"higher availability",NA
"CountryC101","CountryC101","country",32.6326817283726,4.48102231718455,237.644859009393,3.4853142932034,1.01300998011707,0.000580527221002938,"higher availability",NA
"CountryC056","CountryC056","country",32.185428998729,4.80448844986992,215.611266556436,3.47151383456687,0.970407249755785,0.00034705772047876,"higher availability",NA
"CountryC188","CountryC188","country",28.697852719665,8.0984979526758,101.693765378736,3.35682230183642,0.645493338282908,1.988621688555e-07,"higher availability",NA
"CountryC094","CountryC094","country",23.6085233685675,7.00608694885192,79.5540191997664,3.16160780651417,0.619821833855834,3.38161434482818e-07,"higher availability",NA
"R0040_I","R0040","applicability_indicator",0.044585927939675,0.0106654991226608,0.186386492313165,-3.11033698678974,0.729811441733141,2.02753832553342e-05,"lower availability","C2.1.1"
"CountryC185","CountryC185","country",17.3794247805014,5.17091724610014,58.4121522983001,2.85528702265556,0.618499596111505,3.90315753604525e-06,"higher availability",NA
"CountryC236","CountryC236","country",14.5599507377401,1.60174227092165,132.350983884216,2.67827465936584,1.12613431708269,0.017393112635799,"higher availability",NA
"CountryC245","CountryC245","country",14.3248481922282,4.30832074004012,47.629062020223,2.66199566514348,0.61299466005821,1.40801073414748e-05,"higher availability",NA
"CountryC011","CountryC011","country",13.0782537307902,4.25316660053316,40.2149120200198,2.5709508302959,0.573116164979398,7.26014280629516e-06,"higher availability",NA
"CountryC128","CountryC128","country",12.7852252979527,1.50118083943745,108.888937045496,2.54829023064128,1.09289671791814,0.0197172999566291,"higher availability",NA
"CountryC191","CountryC191","country",11.6136018170853,3.40250959625818,39.6400784039328,2.45217698162692,0.626370543242622,9.04423176982549e-05,"higher availability",NA
"CountryC239","CountryC239","country",10.9891583961894,3.45122009744674,34.9909883597056,2.39690918642856,0.590919718733083,4.98701060581379e-05,"higher availability",NA
"CountryC143","CountryC143","country",9.245950726425,2.69253765300396,31.7498270600242,2.22418569637435,0.629451148976422,0.000410046647668341,"higher availability",NA
"CountryC069","CountryC069","country",6.5417808589816,1.67440874436802,25.5582138775143,1.87820943099806,0.695293039679457,0.00690647225876183,"higher availability",NA
"CountryC066","CountryC066","country",6.50411311553923,2.11915660478437,19.9624168049789,1.87243476378235,0.572161831049166,0.00106577694072826,"higher availability",NA
"CountryC044","CountryC044","country",6.08813970360887,0.6003203538302,61.7427758598746,1.80634256766943,1.18197805120125,0.12645371028666,"higher availability",NA
"CountryC088","CountryC088","country",4.44057498368202,1.21452890056666,16.2356829685177,1.49078386888891,0.661454809206029,0.0242090363839249,"higher availability",NA
"CountryC252","CountryC252","country",4.23602357751619,1.14116579192726,15.7241794980275,1.44362499370955,0.669183025645017,0.0309827098078082,"higher availability",NA
"CountryC177","CountryC177","country",3.0768236561826,0.843828330753488,11.2189215107195,1.12389778438971,0.660065184488152,0.0886228647949977,"higher availability",NA
"CountryC006","CountryC006","country",2.42842054774217,0.490328199958577,12.0271001284335,0.887241065670632,0.81630141908084,0.277079353124852,"higher availability",NA
"CountryC195","CountryC195","country",2.38932263996136,0.671929329069724,8.49622487194564,0.871009911531906,0.647262924524426,0.178405171213872,"higher availability",NA
"R0251_score","R0251","requirement_score",1.67327215001588,1.06646038601186,2.62535742043739,0.514781080631526,0.229818491494084,0.0250944090491668,"higher availability","C4.1"
